id,name,reference_area
linhafala.caso.referenceentity_1,PRM,SRQ
linhafala.caso.referenceentity_2,SERNIC,SRQ
linhafala.caso.referenceentity_3,Trabalho e Emprego,Familia
linhafala.caso.referenceentity_4,Familia,Familia
linhafala.caso.referenceentity_5,Estruturas do Bairro,Familia
linhafala.caso.referenceentity_6,Lider Comunitario,Familia
linhafala.caso.referenceentity_7,Lider Religioso,Familia
linhafala.caso.referenceentity_8,Organizacao de base comunitaria,Familia
linhafala.caso.referenceentity_9,Comite Comunitario de Protecao a crianca,Familia
linhafala.caso.referenceentity_10,Tribunal Comunitario,Familia
linhafala.caso.referenceentity_11,Saude,Familia
linhafala.caso.referenceentity_12,Accao Social,SRQ
linhafala.caso.referenceentity_13,ICDP - Organizacoes da Sociedade Civil,SRQ
linhafala.caso.referenceentity_14,Justica,SRQ
linhafala.caso.referenceentity_15,Policia,SRQ
linhafala.caso.referenceentity_16,Educação,SRQ
linhafala.caso.referenceentity_17,Outros,Familia
